target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,P,marcel,fip,533167,Matt Shoemaker,34.0,114.0,280.0,4.813276110050372,6.567589940252667,,
2021,P,marcel,fip,571578,Patrick Corbin,31.0,294.0,738.0,3.6847871478449266,5.421465389482941,,
2021,P,marcel,fip,594798,Jacob deGrom,33.0,268.0,324.0,2.985729835326924,1.284741033214473,,
2021,P,marcel,fip,670280,David Bednar,26.0,32.0,235.0,4.313732000965968,2.64260056498705,,
2021,P,marcel,fip,543135,Nathan Eovaldi,31.0,198.0,761.0,4.466593956707321,2.8081890898077493,,
2021,P,marcel,fip,677976,Randy Dobnak,26.0,198.0,227.0,4.092658649309347,5.745839431383809,,
2021,P,marcel,fip,642528,Jonathan Loáisiga,26.0,97.0,281.0,4.2426054032418925,2.625184019268616,,
2021,P,marcel,fip,571901,Aaron Loup,33.0,93.0,217.0,4.110043200291476,2.49599423014542,,
2021,P,marcel,fip,592314,Mike Foltynewicz,29.0,16.0,583.0,4.4625662976615095,6.068444505219477,,
2021,P,marcel,fip,669432,Trevor Rogers,23.0,130.0,541.0,4.153118773621614,2.5503507095792983,,
2021,P,marcel,fip,607074,Carlos Rodón,28.0,35.0,529.0,4.275930035869292,2.6768100740709295,,
2021,P,marcel,fip,656954,Justus Sheffield,25.0,232.0,383.0,4.091814212690211,5.671805799586474,,
2021,P,marcel,fip,657031,Josh Taylor,28.0,36.0,206.0,4.257202665481186,2.6950481174346015,,
2021,P,marcel,fip,572193,Ryan Tepera,33.0,89.0,239.0,4.287487649640608,2.7303932071275168,,
2021,P,marcel,fip,656302,Dylan Cease,25.0,253.0,707.0,5.001621097497467,3.454936116759221,,
2021,P,marcel,fip,624133,Ranger Suarez,25.0,26.0,412.0,4.226158038643333,2.681787792853522,,
2021,P,marcel,fip,663531,Logan Allen,24.0,49.0,222.0,4.556649060129461,6.10031834389688,,
2021,P,marcel,fip,656557,Tanner Houck,25.0,63.0,283.0,4.113742038413827,2.5818424824898356,,
2021,P,marcel,fip,519151,Ryan Pressly,32.0,90.0,248.0,3.5720344898450067,2.0632736419101256,,
2021,P,marcel,fip,608678,Dominic Leone,29.0,47.0,214.0,4.481374355094519,3.0704553189287593,,
2021,P,marcel,fip,592826,Vince Velasquez,29.0,153.0,413.0,4.478805485848856,5.869700320355355,,
2021,P,marcel,fip,623149,Paul Sewald,31.0,35.0,258.0,4.281495931223807,2.894781373868888,,
2021,P,marcel,fip,666200,Jesús Luzardo,23.0,246.0,434.0,4.13587089532203,5.495747418133902,,
2021,P,marcel,fip,453562,Jake Arrieta,35.0,190.0,463.0,4.77506793101314,6.128307425693908,,
2021,P,marcel,fip,622075,Yency Almonte,27.0,113.0,216.0,4.36836734646603,5.716027138413622,,
2021,P,marcel,fip,642121,Cole Sulser,31.0,97.0,256.0,4.375398411140679,3.030049957699599,,
2021,P,marcel,fip,594835,Marco Gonzales,29.0,277.0,581.0,3.9264925352031828,5.263709688421754,,
2021,P,marcel,fip,657277,Logan Webb,24.0,243.0,593.0,4.079550017329331,2.767838248651699,,
2021,P,marcel,fip,605242,Michael Fulmer,28.0,135.0,295.0,4.7190732914518385,3.4204805797091686,,
2021,P,marcel,fip,471911,Carlos Carrasco,34.0,279.0,237.0,3.971022466007388,5.269213082903915,,
2021,P,marcel,fip,543339,Daniel Hudson,34.0,91.0,209.0,4.494660400836267,3.2001688032004485,,
2021,P,marcel,fip,676979,Garrett Crochet,22.0,22.0,225.0,4.001296857952253,2.7409960345481625,,
