tier,role,target,stat,age_bucket,pt_bucket,history_bucket,n,mean_error,rmse,cov80
marcel,H,2023,bb_pct,28-30,>400,2,2,0.0049852968310814755,0.005611473755646255,
marcel,H,2023,bb_pct,28-30,>400,3+,60,-0.00606551602749033,0.02064512082851203,
marcel,H,2023,bb_pct,31-33,150-400,1,2,0.010810692851092797,0.011159786905540309,
marcel,H,2023,bb_pct,31-33,150-400,2,2,0.014623963632620423,0.014992272913424807,
marcel,H,2023,bb_pct,31-33,150-400,3+,16,0.0007383270605793848,0.015079665484776938,
marcel,H,2023,bb_pct,31-33,<150,2,1,-0.038769857713772934,0.038769857713772934,
marcel,H,2023,bb_pct,31-33,<150,3+,2,-0.006976358464145388,0.019845833216195333,
marcel,H,2023,bb_pct,31-33,>400,2,1,0.00493110917763126,0.00493110917763126,
marcel,H,2023,bb_pct,31-33,>400,3+,40,0.0017802854114921194,0.01701437512015916,
marcel,H,2023,bb_pct,<=24,150-400,1,8,-0.0020151311912397435,0.02081947680098428,
marcel,H,2023,bb_pct,<=24,150-400,2,5,0.0007276574191605356,0.013658359460806797,
marcel,H,2023,bb_pct,<=24,150-400,3+,3,0.0014013697246900467,0.006317366591477855,
marcel,H,2023,bb_pct,<=24,<150,1,20,0.0085683618228039,0.02574374407107953,
marcel,H,2023,bb_pct,<=24,<150,2,1,0.01749535841542925,0.01749535841542925,
marcel,H,2023,bb_pct,<=24,>400,1,8,0.0073852883837964125,0.011438107303961576,
marcel,H,2023,bb_pct,<=24,>400,2,1,-0.03212125339756937,0.03212125339756937,
marcel,H,2023,bb_pct,<=24,>400,3+,6,0.007703393096933041,0.011811806337499084,
marcel,H,2023,bb_pct,>=34,150-400,3+,10,0.0004609729980603072,0.03146175552414798,
marcel,H,2023,bb_pct,>=34,<150,3+,1,0.02673419181036231,0.02673419181036231,
marcel,H,2023,bb_pct,>=34,>400,3+,20,0.0021296853792053642,0.017694582074011537,
marcel,H,2024,bb_pct,25-27,150-400,1,6,0.015281721425788002,0.023693466399208635,
marcel,H,2024,bb_pct,25-27,150-400,2,15,0.011345319033368075,0.0209567363291527,
